,car_name,price,instalment,mileage,depreciation,purchase_date,remaining,remaining_years,remaining_months,source
780,Lexus ES Hybrid ES300h Executive Sunroof,213800,1771,11033,22578,2020/11/26,8 yrs 2 mths ,8,2,Carbuyer
781,Toyota Corolla Altis 1.6A Elegance,84800,892,85400,13638,2018/01/29,5 yrs 4 mths ,5,4,Carbuyer
782,Mazda 3 1.5A Sunroof,60800,846,127600,13561,2016/08/29,3 yrs 11 mths ,3,11,Carbuyer
783,Mercedes-Benz E-Class E220d Sport,229800,1904,8988,23486,2021/03/30,8 yrs 6 mths ,8,6,Carbuyer
784,Mercedes-Benz GLA-Class GLA180 (A),117800,1116,50000,11780,2018/11/09,6 yrs 0 mths ,6,0,Carbuyer
785,Mazda 3 Sedan 1.5 SP (A),81800,757,26500,8180,2018/11/15,6 yrs 2 mths ,6,2,Carbuyer
786,BMW 5 Series Sedan 520i (A),95800,1512,98800,9580,2016/02/26,3 yrs 5 mths ,3,5,Carbuyer
787,Subaru Forester 2.0 XT (A),64500,1066,86500,6450,2015/12/30,3 yrs 3 mths ,3,3,Carbuyer
788,Honda Shuttle 1.5 [2017] (A),67800,779,67200,12995,2017/12/07,4 yrs 10 mths ,4,10,Carbuyer
789,MERCEDES BENZ C 200 KOMPRESSOR,65888,632,160000,10991,2008/11/21,5 yrs 11 mths ,5,11,Carbuyer
790,Jaguar XE Diesel 2.0D Prestige (A),99800,1611,130000,22717,2016/01/26,3 yrs 4 mths ,3,4,Carbuyer
791,Mercedes-Benz A-Class A200 Style (A),101800,1102,77000,17271,2017/04/12,5 yrs 2 mths ,5,2,Carbuyer
792,Mercedes-Benz E-Class Saloon E200 Exclusive (A),176800,1675,67000,22966,2018/09/25,6 yrs 0 mths ,6,0,Carbuyer
793,"Hyundai Elantra 1.6 GLS ""S"" (A) (Past Model)",67800,845,80000,13112,2017/01/03,4 yrs 5 mths ,4,5,Carbuyer
794,Citroen C4 Picasso Diesel 1.6 BlueHDi 120 EAT6 ML (A),65800,768,120000,13068,2017/08/06,4 yrs 9 mths ,4,9,Carbuyer
795,Honda Vezel Hybrid 1.5 X (A),93800,848,28000,13162,2019/01/24,6 yrs 4 mths ,6,4,Carbuyer
796,Volvo V40 T2 (A),79800,917,75000,14264,2017/07/28,4 yrs 10 mths ,4,10,Carbuyer
797,Mazda CX-3 2.0A Deluxe,126800,1051,18000,14077,2020/11/11,8 yrs 2 mths ,8,2,Carbuyer
798,Mercedes-Benz C-Class C180 Coupe,35800,3621,82600,39798,2013/03/20,6 mths ,6,0,Carbuyer
799,Mercedes-Benz GLC-Class GLC43 AMG 4MATIC Sunroof,368800,3055,758,33388,2022/10/01,9 yrs 4 mths ,9,4,Carbuyer
801,NISSAN QASHQAI 1.2 DIG-T CVT ABS 2WD 5DR,65888,808,81000,12970,2017/03/24,4 yrs 6 mths ,4,6,Carbuyer
802,Audi Q5 2.0 TFSI qu S Tronic Sport (A),149800,1598,56000,23681,2017/12/28,5 yrs 3 mths ,5,3,Carbuyer
803,Kia Cerato Forte 1.6 SX (A),22800,596,160000,4560,2009/09/28,2 yrs 0 mths ,2,0,Carbuyer
804,Toyota Corolla Axio 1.5 X (A),51800,468,122000,8167,2009/06/01,6 yrs 4 mths ,6,4,Carbuyer
805,Nissan NV200 1.5 Panel Van (M),48800,514,75000,4880,2018/02/02,5 yrs 4 mths ,5,4,Carbuyer
806,Honda Vezel  1.5 X (A),75800,809,50000,15160,2017/07/12,5 yrs 3 mths ,5,3,Carbuyer
808,Honda HR-V 1.5 DX (A),90800,802,74300,12285,2019/05/04,6 yrs 6 mths ,6,6,Carbuyer
809,Mitsubishi Lancer 1.6 GLX (M),23500,732,179792,13508,2009/06/25,1 yrs 8 mths ,1,8,Carbuyer
810,Toyota Camry Hybrid 2.5 Ascent Sport (A),146800,1216,37655,16270,2020/10/11,8 yrs 2 mths ,8,2,Carbuyer
811,Volkswagen Golf GTI 3DR (COE till 01/2029),74888,677,120000,11676,2009/02/13,6 yrs 4 mths ,6,4,Carbuyer
812,VOLKSWAGEN GOLF GTI 2.0L AT 5DR 5K19V3,90888,753,106000,11253,2010/01/12,8 yrs 0 mths ,8,0,Carbuyer
