,car_name,price,instalment,mileage,depreciation,purchase_date,remaining,remaining_years,remaining_months,source
975,Toyota Land Cruiser 4.6A X,245800,2148,47588,31455,2019/04/24,6 yrs 7 mths ,6,7,Carbuyer
976,Nissan GTR 3.8A,584800,4844,3588,57372,2022/02/18,9 yrs 5 mths ,9,5,Carbuyer
977,Toyota C-HR Hybrid 1.8A S,155800,1291,88,15436,2022/03/03,9 yrs 5 mths ,9,5,Carbuyer
978,Mercedes-Benz C-Class C63 Coupe AMG Black Series (COE till 07/2031),325800,2699,42888,28220,2012/07/09,8 yrs 10 mths ,8,10,Carbuyer
979,BMW 3 Series Plug-in Hybrid 330e Luxury,262800,2177,6288,25442,2021/08/30,8 yrs 11 mths ,8,11,Carbuyer
980,Mercedes-Benz A-Class A35 AMG 4MATIC Premium Plus,285800,2368,588,26654,2022/10/03,9 yrs 6 mths ,9,6,Carbuyer
984,Mercedes-Benz C-Class Saloon C160 Avantgarde (A),163800,1357,22000,18211,2020/07/30,7 yrs 10 mths ,7,10,Carbuyer
985,Mercedes-Benz GLA-Class GLA200 Progressive (A),205800,1705,9500,21851,2021/02/26,8 yrs 5 mths ,8,5,Carbuyer
986,BMW 6 Series Gran Coupe 640i (A),110800,4559,118000,39809,2013/12/19,1 yrs 3 mths ,1,3,Carbuyer
987,Volkswagen Golf 1.4A TSI Highline,120800,1001,16000,14173,2020/03/31,7 yrs 6 mths ,7,6,Carbuyer
989,Nissan NV350 2.5M,53800,544,140000,9383,2018/05/05,5 yrs 7 mths ,5,7,Carbuyer
990,MINI Cooper S 2.0A,81800,1420,40000,21685,2015/10/30,3 yrs 1 mths ,3,1,Carbuyer
991,Mercedes-Benz E-Class E250 CGI (COE till 07/2031),108800,902,126220,12257,2011/07/20,8 yrs 10 mths ,8,10,Carbuyer
992,Mercedes-Benz E-Class E200 AMG Line Edition E,108800,1757,94780,23438,2016/01/15,3 yrs 4 mths ,3,4,Carbuyer
993,Mercedes-Benz A200 Saloon Sport,189800,1573,100,17911,2022/03/25,9 yrs 6 mths ,9,6,Carbuyer
994,Maserati GranTurismo 4.2A (COE till 03/2028),129800,1328,159850,23500,2008/03/13,5 yrs 6 mths ,5,6,Carbuyer
995,Honda Odyssey 2.4A EX-S 8-Seater,48800,1683,155550,22095,2014/03/14,1 yrs 6 mths ,1,6,Carbuyer
996,Ford Focus 1.0A GTDI Titanium,59800,677,64000,10599,2017/08/23,4 yrs 11 mths ,4,11,Carbuyer
997,BMW X2 sDrive18i M-Sport X,186800,1548,4500,17721,2021/11/17,9 yrs 2 mths ,9,2,Carbuyer
998,BMW X1 sDrive18i xLine,180800,1498,37,16726,2022/01/28,9 yrs 4 mths ,9,4,Carbuyer
999,BMW 3 Series 320i Gran Turismo,131800,1406,88000,20426,2017/12/19,5 yrs 3 mths ,5,3,Carbuyer
1000,BMW 2 Series 225xe Plug-in Hybrid Active Tourer iPerformance,152800,1307,30000,19571,2019/06/25,6 yrs 9 mths ,6,9,Carbuyer
1001,BMW 2 Series 218i Gran Coupe M-Sport,194800,1614,40,18806,2021/11/30,9 yrs 2 mths ,9,2,Carbuyer
1003,Volkswagen Polo GP 1.2A TSI,42800,852,72000,14655,2015/05/06,2 yrs 8 mths ,2,8,Carbuyer
1004,Volkswagen Golf R 5DR Sunroof (COE till 04/2031),121800,1009,140000,14158,2011/11/04,8 yrs 7 mths ,8,7,Carbuyer
1005,Volkswagen Golf 1.2A TSI,63500,835,78000,14148,2016/11/17,4 yrs 2 mths ,4,2,Carbuyer
1006,Porsche Cayenne 3.6A Tip (COE till 09/2027),96800,1079,120000,19078,2008/06/21,5 yrs 0 mths ,5,0,Carbuyer
1007,Mitsubishi Lancer 1.6A (COE till 11/2023),14800,652,128000,12534,2008/10/11,1 yrs 2 mths ,1,2,Carbuyer
1008,Mercedes-Benz GLB-Class GLB200 Sport,190900,1582,3500,19564,2021/01/07,8 yrs 9 mths ,8,9,Carbuyer
1009,Mercedes-Benz GLA-Class GLA200 Urban Sunroof,110800,1336,48000,20439,2017/04/13,4 yrs 7 mths ,4,7,Carbuyer
1010,Mercedes-Benz GLA-Class GLA180 AMG Line,94800,1269,77000,19353,2016/07/10,4 yrs 1 mths ,4,1,Carbuyer
1011,Mercedes-Benz E-Class E300 Cabriolet Mild Hybrid AMG Line Premium Plus Night Edition,340800,2823,5000,31949,2021/10/06,8 yrs 9 mths ,8,9,Carbuyer
1012,BMW Z4 sDrive23i (COE till 07/2029),87800,743,150000,12707,2009/11/09,6 yrs 10 mths ,6,10,Carbuyer
1013,BMW 3 Series 320i Coupe Sunroof (COE till 09/2030),80800,670,120000,10014,2010/09/28,8 yrs 0 mths ,8,0,Carbuyer
1014,Mercedes-Benz B-Class B180 Style (A),74800,1061,133962,16194,2016/07/25,3 yrs 10 mths ,3,10,Carbuyer
1015,BMW X1 sDrive18i (A),110800,1199,101042,18137,2017/11/15,5 yrs 2 mths ,5,2,Carbuyer
1016,Lexus NX 300 2.0 Executive (A),149800,1513,50987,22378,2018/04/19,5 yrs 7 mths ,5,7,Carbuyer
1017,Subaru Levorg 1.6 GT-S (A),91800,1125,97024,17226,2017/10/03,4 yrs 6 mths ,4,6,Carbuyer
1018,Mazda RX-8 1.3A (COE till 03/2025),40800,863,106000,16082,2010/03/19,2 yrs 6 mths ,2,6,Carbuyer
1019,Audi Q5 2.0A TFSI Quattro (COE till 05/2029),88800,768,132000,13192,2009/05/28,6 yrs 8 mths ,6,8,Carbuyer
1020,Honda Freed Hybrid 1.5A G,125800,1042,10000,14045,2021/04/01,8 yrs 3 mths ,8,3,Carbuyer
1021,Kia Sorento 2.4A SX,175000,1450,23000,19597,2020/10/16,8 yrs 1 mths ,8,1,Carbuyer
1022,Bentley Flying Spur 4.0A V8,550000,5950,55000,76548,2017/07/11,5 yrs 2 mths ,5,2,Carbuyer
1023,Bentley Continental GT 4.0A V8,238800,24153,52000,280874,2013/03/25,6 mths ,6,0,Carbuyer
1024,Ferrari 458 Italia (COE till 06/2030),518800,4298,80000,66303,2011/01/22,7 yrs 9 mths ,7,9,Carbuyer
1025,Mercedes-Benz C-Class C180K Avantgarde (COE till 04/2031),85800,711,148000,9923,2011/04/27,8 yrs 7 mths ,8,7,Carbuyer
1026,BMW 2 Series 225xe Plug-in Hybrid Active Tourer,120800,1220,55000,18592,2018/04/26,5 yrs 7 mths ,5,7,Carbuyer
1027,Volkswagen Passat 1.8A TFSI,115800,1071,78000,16420,2018/08/11,6 yrs 2 mths ,6,2,Carbuyer
1028,Porsche Taycan 4 Cross Turismo,538888,4464,10,58428,2021/11/26,9 yrs 2 mths ,9,2,Carbuyer
1029,Porsche 911 C2 Cabriolet 3.0A PDK,529800,5349,50000,74015,2018/02/05,5 yrs 7 mths ,5,7,Carbuyer
1030,Mercedes-Benz GLA-Class GLA200 Sport Premium Plus,219800,1821,10,23449,2022/01/20,9 yrs 4 mths ,9,4,Carbuyer
1031,Mercedes-Benz GLA-Class GLA200 AMG Line Premium Plus,225800,1871,10,24235,2021/12/30,9 yrs 3 mths ,9,3,Carbuyer
1032,Lexus RX350L Premium 7-Seater,196800,1842,100000,24593,2018/10/31,6 yrs 1 mths ,6,1,Carbuyer
1033,Lamborghini Urus,968000,8018,4000,90088,2021/10/15,9 yrs 1 mths ,9,1,Carbuyer
1034,Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,150800,1250,10,16741,2021/08/09,9 yrs 0 mths ,9,0,Carbuyer
1035,Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,150800,1250,10,16786,2021/08/30,8 yrs 11 mths ,8,11,Carbuyer
1036,BMW X7 xDrive40i Pure Excellence 7-Seater,348800,2982,66000,40255,2019/06/27,6 yrs 9 mths ,6,9,Carbuyer
1037,Porsche 911 C4 Coupe (COE till 04/2029),242282,2117,112300,36392,2009/09/23,6 yrs 7 mths ,6,7,Carbuyer
1040,Mercedes-Benz GLA-Class GLA180 (A),150800,1250,11600,17102,2020/07/24,7 yrs 10 mths ,7,10,Carbuyer
1041,Honda Integra 2.0M (COE till 05/2026),105800,1564,20000,28291,2006/12/07,3 yrs 8 mths ,3,8,Carbuyer
1043,Mercedes-Benz CLA-Class CLA200,88888,1314,143000,20310,2016/05/19,3 yrs 8 mths ,3,8,Carbuyer
1045,Honda Civic Type R 2.0M (COE till 05/2029),124500,1076,144000,18465,2009/01/09,6 yrs 8 mths ,6,8,Carbuyer
1046,Porsche Boxster 2.7A Tip (COE till 04/2029),97800,855,172000,14690,2001/01/06,6 yrs 7 mths ,6,7,Carbuyer
1047,BMW M Series M3 Sedan Competition Package (COE till 09/2031),232800,1929,110000,25671,2011/09/29,9 yrs 0 mths ,9,0,Carbuyer
1048,BMW 7 Series 740Li M-Sport,360000,2982,23000,38934,2019/12/27,7 yrs 3 mths ,7,3,Carbuyer
1049,BMW 3 Series 335i Coupe M-Sport Sunroof (COE till 05/2029),110000,951,165000,16315,2009/08/20,6 yrs 8 mths ,6,8,Carbuyer
1050,Toyota Yaris Cross 1.5A,107800,893,3800,11565,2021/10/13,9 yrs 1 mths ,9,1,Carbuyer
1051,SEAT Ateca 1.4A TSI Style,116800,968,30000,14389,2019/09/26,7 yrs 0 mths ,7,0,Carbuyer
1052,Mitsubishi ASX 2.0A,59800,884,99216,13684,2016/05/25,3 yrs 8 mths ,3,8,Carbuyer
1053,Mazda CX-5 2.0A Luxury,150800,1250,8188,15294,2021/06/08,8 yrs 11 mths ,8,11,Carbuyer
1054,Mazda CX-5 2.0A,142800,1183,9998,15365,2021/03/15,8 yrs 6 mths ,8,6,Carbuyer
1055,Honda Stream 1.8A (COE till 09/2023),18800,181,136188,3135,2008/03/09,5 yrs 11 mths ,5,11,Carbuyer
1056,Honda Civic 1.5A VTEC Turbo Sunroof,92800,990,62188,15373,2017/11/12,5 yrs 3 mths ,5,3,Carbuyer
1057,Chevrolet Captiva 2.4A,79800,903,60000,13593,2017/08/30,4 yrs 11 mths ,4,11,Carbuyer
1058,Porsche Cayenne 3.0A Tip,336800,3043,40388,42625,2019/01/25,6 yrs 4 mths ,6,4,Carbuyer
1060,Mercedes-Benz CLA-Class CLA180 AMG Line,194800,1614,1988,18573,2022/01/14,9 yrs 4 mths ,9,4,Carbuyer
1065,Toyota Dyna 150 3.0M,52300,728,11000,13097,2016/11/08,3 yrs 11 mths ,3,11,Carbuyer
1066,Citroen Berlingo 1.5A BlueHDi,78800,653,13805,9353,2021/01/15,8 yrs 4 mths ,8,4,Carbuyer
1074,Mercedes-Benz GLE-Class GLE400 4MATIC,298800,2475,15668,33693,2020/01/16,7 yrs 4 mths ,7,4,Carbuyer
1076,Honda Vezel 1.5A G,121688,1008,50,12723,2021/09/22,9 yrs 0 mths ,9,0,Carbuyer
1077,Honda Fit 1.3A Honda Sensing,99688,826,50,10440,2021/12/27,9 yrs 3 mths ,9,3,Carbuyer
1078,Volkswagen Passat 1.8A TFSI Sunroof,142800,1183,17000,15290,2020/10/15,8 yrs 1 mths ,8,1,Carbuyer
1079,Volkswagen CC 2.0A TSI,89800,1736,170000,24725,2015/06/17,2 yrs 9 mths ,2,9,Carbuyer
1081,Rolls Royce Phantom EWB,2400000,19879,20000,266884,2020/07/30,7 yrs 10 mths ,7,10,Carbuyer
1083,Porsche Boxster 2.7A PDK,162888,9071,77000,112252,2013/04/09,11 mths ,11,0,Carbuyer
1085,Mercedes-Benz GLA-Class GLA180 Urban Edition,144500,1197,28000,17233,2020/01/23,7 yrs 4 mths ,7,4,Carbuyer
1086,Mercedes-Benz G-Class G63 AMG 4MATIC,820888,6800,500,75799,2021/11/22,9 yrs 2 mths ,9,2,Carbuyer
1093,Nissan X-Trail  2.5 Sunroof (A) (Past Model),59800,884,96000,13045,2016/11/05,3 yrs 8 mths ,3,8,Carbuyer
1094,Toyota Vios 1.5A E,16800,692,100000,12696,2009/08/01,1 yrs 3 mths ,1,3,Carbuyer
1114,BMW 5 Series 520i,208888,1731,31000,22076,2020/08/14,7 yrs 11 mths ,7,11,Carbuyer
1115,Porsche Macan S 3.0A PDK,230000,2684,68000,37250,2017/06/21,4 yrs 9 mths ,4,9,Carbuyer
1116,Mercedes-Benz CLA-Class CLA180 Urban,126800,1232,47000,18695,2018/02/08,5 yrs 10 mths ,5,10,Carbuyer
1117,Land Rover Discovery 2.0A Si4 HSE 7-Seater,275000,2278,18500,27637,2020/01/09,7 yrs 11 mths ,7,11,Carbuyer
1119,BMW 3 Series 316i,45800,1669,66000,20897,2014/02/21,1 yrs 5 mths ,1,5,Carbuyer
1122,Volkswagen Beetle 1.2 TSI DSG (A),108800,941,29980,14730,2019/05/15,6 yrs 8 mths ,6,8,Carbuyer
1123,BMW X1 sDrive20i M Sport (A),173800,1440,15280,18593,2020/08/27,7 yrs 11 mths ,7,11,Carbuyer
1124,Audi A4 1.8A TFSI MU,46300,1261,110800,17655,2014/08/30,1 yrs 11 mths ,1,11,Carbuyer
1126,Porsche Cayenne 3.0 (A),395800,3279,9600,40128,2020/12/28,8 yrs 3 mths ,8,3,Carbuyer
1127,Porsche Macan S 3.0A PDK,188888,2851,93000,38133,2016/04/27,3 yrs 7 mths ,3,7,Carbuyer
1128,BMW 5 Series 528i Sport Pro,119888,1736,85000,24328,2016/06/14,3 yrs 9 mths ,3,9,Carbuyer
1130,Skoda Kodiaq 1.4A TSI Ambition Plus,159777,1324,29000,17650,2020/11/27,8 yrs 2 mths ,8,2,Carbuyer
1131,CITROEN BERLINGO 1.5 BLUEHDI 5MT L2,73777,612,43000,9231,2020/08/13,7 yrs 11 mths ,7,11,Carbuyer
1132,Porsche Macan 2.0A PDK,233500,2490,80000,35836,2017/12/28,5 yrs 3 mths ,5,3,Carbuyer
1133,Porsche Macan 2.0A PDK,299800,2484,20000,32551,2020/07/30,7 yrs 10 mths ,7,10,Carbuyer
1134,Mitsubishi Lancer 1.6M (COE till 04/2023),11800,1025,72000,19940,2008/09/04,7 mths ,7,0,Carbuyer
1135,Mercedes-Benz C-Class C180,65800,2050,123000,28643,2014/04/06,1 yrs 8 mths ,1,8,Carbuyer
1136,Lamborghini Gallardo LP560-4 (COE till 04/2031),333800,2765,58000,38556,2012/06/01,8 yrs 7 mths ,8,7,Carbuyer
1137,Lamborghini Aventador LP700-4 (New 10-yr COE),728000,6030,14888,52882,2012/11/28,10 yrs 2 mths ,10,2,Carbuyer
1138,Kia Cerato Forte Koup 1.6M SX Sunroof (COE till 01/2025),28800,650,160000,11986,2010/01/29,2 yrs 4 mths ,2,4,Carbuyer
1139,BMW 7 Series 730Li Sunroof (COE till 09/2031),122800,1018,158000,13529,2012/02/27,9 yrs 0 mths ,9,0,Carbuyer
1140,BMW 7 Series 730Li Sunroof (COE till 08/2030),99500,825,184000,12446,2010/10/29,7 yrs 11 mths ,7,11,Carbuyer
1141,Aston Martin DB9 Coupe 6.0A (COE till 03/2028),232800,2382,100000,42254,2008/08/03,5 yrs 6 mths ,5,6,Carbuyer
1142,Volvo S60 T5,103800,1009,82200,15137,2018/07/23,5 yrs 10 mths ,5,10,Carbuyer
1143,Toyota Corolla Altis 1.6A (COE till 04/2024),18388,602,120000,11167,2009/04/28,1 yrs 7 mths ,1,7,Carbuyer
1145,Ferrari F430 F1 (COE till 07/2027),288800,3317,26000,58857,2008/08/01,4 yrs 10 mths ,4,10,Carbuyer
1146,Honda S2000 2.0M (COE till 02/2028),179800,1865,20000,32814,2008/02/26,5 yrs 5 mths ,5,5,Carbuyer
1147,Mercedes-Benz S-Class S320L,208000,3140,39000,38713,2016/04/27,3 yrs 7 mths ,3,7,Carbuyer
1148,Porsche 911 Carrera S Cabriolet (COE till 04/2029),237000,2071,88888,35599,2009/05/06,6 yrs 7 mths ,6,7,Carbuyer
1149,Porsche Cayman S 3.4A (COE till 08/2028),147800,1418,134000,24735,2008/08/25,5 yrs 11 mths ,5,11,Carbuyer
1150,KIA FORTE K3 1.6A,69800,687,80000,11084,2018/06/13,5 yrs 9 mths ,5,9,Carbuyer
1151,B.M.W. 530I M-SPORT AUTO,220800,1888,54000,26652,2019/06/18,6 yrs 9 mths ,6,9,Carbuyer
1152,HONDA S2000 2.2 M,158800,1883,6000,33504,2007/08/06,4 yrs 8 mths ,4,8,Carbuyer
1153,KIA CERATO 1.6(A) LX,79800,690,64000,11136,2019/06/05,6 yrs 8 mths ,6,8,Carbuyer
1155,TOYOTA VIOS E AUTO,11800,1025,152000,18645,2008/04/24,7 mths ,7,0,Carbuyer
1156,Maserati Levante 3.0 V6 (A),380800,3155,18750,40353,2020/04/12,8 yrs 2 mths ,8,2,Carbuyer
1159,TOYOTA LEXUS NX300 5DR SUV (AT)(4WD) EXECUTIVE,181800,1506,27408,21451,2020/02/01,7 yrs 3 mths ,7,3,Carbuyer
1160,B.M.W. X3 SDRIVE 20I ADAPTIVE HL LED FL,205800,1705,17800,22151,2020/09/30,8 yrs 0 mths ,8,0,Carbuyer
1161,MINI COOPER D HATCHBACK D/AB DSC LED,63800,1108,75503,18377,2015/10/23,3 yrs 1 mths ,3,1,Carbuyer
1164,Subaru Forester 2.0XT Sunroof,66900,1032,78000,16095,2016/03/28,3 yrs 6 mths ,3,6,Carbuyer
1165,LAMBORGHINI HURACAN LP580-2,728000,7350,5000,100002,2018/06/04,5 yrs 7 mths ,5,7,Carbuyer
1166,MERCEDES BENZ S320L (R19 LED),180000,2554,79000,28915,2016/02/08,3 yrs 10 mths ,3,10,Carbuyer
1167,Aston Martin V8 Vantage Roadster 4.7A (COE till 09/2030),198800,1647,35000,24614,2010/10/14,8 yrs 0 mths ,8,0,Carbuyer
1168,Bentley Continental Flying Spur 6.0A (COE till 03/2026),96800,1527,102000,27711,2006/03/03,3 yrs 5 mths ,3,5,Carbuyer
1169,Maserati Quattroporte S 3.0A,155800,6855,82000,60608,2013/11/27,1 yrs 2 mths ,1,2,Carbuyer
1170,Renault Fluence Diesel 1.5A dCi,58800,676,82202,11249,2017/07/31,4 yrs 10 mths ,4,10,Carbuyer
1171,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,62900,1092,85780,16677,2015/10/30,3 yrs 1 mths ,3,1,Carbuyer
1173,Nissan Teana 2.0A,41800,1368,85000,18210,2014/04/19,1 yrs 7 mths ,1,7,Carbuyer
1174,Volkswagen Golf Mild Hybrid 1.5A eTSI DSG Life,145800,1208,3180,15780,2021/07/09,9 yrs 0 mths ,9,0,Carbuyer
1176,Audi A4 1.4A TFSI S-tronic Design,99880,1224,47200,18280,2017/03/20,4 yrs 6 mths ,4,6,Carbuyer
1177,BMW 5 Series 530i Luxury,145800,1757,89000,24533,2017/04/28,4 yrs 7 mths ,4,7,Carbuyer
1181,HONDA ACCORD 2.0 A (COE till 12/2026),43800,566,165460,10261,2006/11/12,4 yrs 3 mths ,4,3,Carbuyer
1182,PORSCHE  911 CARRERA 4S A (COE till 06/2030),275000,2278,96750,35393,2010/11/06,7 yrs 9 mths ,7,9,Carbuyer
1185,Volkswagen Polo GP 1.2A TSI Sunroof,61800,689,60145,11458,2017/09/28,5 yrs 0 mths ,5,0,Carbuyer
1186,Toyota Vios 1.5A E (COE till 11/2027),45800,496,129700,8739,2008/01/17,5 yrs 2 mths ,5,2,Carbuyer
1187,Toyota Sienta Hybrid 1.5A X,99800,827,14235,12061,2020/03/03,7 yrs 5 mths ,7,5,Carbuyer
1188,Toyota Sienta Hybrid 1.5A X,114800,951,17000,12766,2021/02/18,8 yrs 5 mths ,8,5,Carbuyer
1189,Toyota Sienta Hybrid 1.5A X,97800,811,13254,11804,2020/03/26,7 yrs 6 mths ,7,6,Carbuyer
1190,Toyota Sienta Hybrid 1.5A X,102800,852,27256,11793,2020/06/08,7 yrs 11 mths ,7,11,Carbuyer
1191,Toyota Sienta Hybrid 1.5A X,102800,852,17285,11755,2020/10/09,8 yrs 0 mths ,8,0,Carbuyer
1192,Toyota Sienta Hybrid 1.5A X,103800,860,18152,11745,2020/10/13,8 yrs 1 mths ,8,1,Carbuyer
1193,Toyota Sienta Hybrid 1.5A G,89800,919,58780,13873,2018/03/29,5 yrs 6 mths ,5,6,Carbuyer
1194,Toyota Estima 2.4A Aeras 8-Seater (COE till 05/2028),71800,716,130000,12618,2008/05/13,5 yrs 8 mths ,5,8,Carbuyer
1195,Mercedes-Benz GLB-Class GLB200 AMG Line Premium 7-Seater,210800,1747,14000,21471,2021/05/14,8 yrs 8 mths ,8,8,Carbuyer
1196,Toyota Camry 2.4A (COE till 02/2029),53800,481,141252,8289,2009/04/21,6 yrs 5 mths ,6,5,Carbuyer
1197,Renault Grand Scenic Diesel 1.5A dCi Sunroof,47800,874,89158,12368,2015/08/28,2 yrs 11 mths ,2,11,Carbuyer
1198,Porsche Cayenne S Diesel 4.2A Tip,238800,4750,78000,56190,2015/08/05,2 yrs 8 mths ,2,8,Carbuyer
1199,Nissan Note 1.2A,79800,661,20500,9721,2020/08/18,7 yrs 11 mths ,7,11,Carbuyer
1200,Nissan Note 1.2A,57800,635,63330,10799,2017/10/19,5 yrs 1 mths ,5,1,Carbuyer
1201,Mitsubishi Lancer EX 1.5A GLX (COE till 08/2023),13800,769,118952,14728,2008/08/13,11 mths ,11,0,Carbuyer
1202,Mercedes-Benz GLC-Class GLC250 4MATIC,119800,1849,82500,25972,2016/05/04,3 yrs 6 mths ,3,6,Carbuyer
1203,Mercedes-Benz GLB-Class GLB200 AMG Line Premium Plus,224800,1862,700,22042,2021/08/24,8 yrs 11 mths ,8,11,Carbuyer
1204,Mercedes-Benz GLB-Class GLB180 Progressive,203800,1689,8015,20223,2021/09/23,9 yrs 0 mths ,9,0,Carbuyer
1205,Mercedes-Benz GLB-Class GLB180 Progressive,203800,1689,5888,20223,2021/09/23,9 yrs 0 mths ,9,0,Carbuyer
1206,Mercedes-Benz GLA-Class GLA180 Urban Edition,136800,1134,46783,16943,2019/11/28,7 yrs 2 mths ,7,2,Carbuyer
1207,Mercedes-Benz GLA-Class GLA45 AMG 4MATIC,218800,2000,31300,29343,2019/02/01,6 yrs 3 mths ,6,3,Carbuyer
1208,Mercedes-Benz E-Class E300 Exclusive,186800,1770,132145,23073,2018/09/19,6 yrs 0 mths ,6,0,Carbuyer
1209,Mercedes-Benz E-Class E250 CGI (COE till 07/2030),91800,761,133500,11651,2010/07/21,7 yrs 10 mths ,7,10,Carbuyer
1210,Honda Vezel 1.5A S,68800,873,64000,13562,2017/11/01,4 yrs 4 mths ,4,4,Carbuyer
1211,Honda Vezel 1.5A X,86800,794,23000,12727,2018/12/31,6 yrs 3 mths ,6,3,Carbuyer
1212,Honda Vezel Hybrid 1.5A RS,65800,881,81686,15271,2016/10/28,4 yrs 1 mths ,4,1,Carbuyer
1213,Honda Vezel Hybrid 1.5A X,84800,857,14337,13478,2018/04/30,5 yrs 7 mths ,5,7,Carbuyer
1214,Honda Vezel Hybrid 1.5A X,67800,875,71000,15154,2016/12/27,4 yrs 3 mths ,4,3,Carbuyer
1215,Kia Cerato 1.6A EX,97800,811,18874,11025,2020/11/24,8 yrs 2 mths ,8,2,Carbuyer
1216,Kia Cerato K3 1.6A (OPC),68800,695,31524,11201,2018/04/23,5 yrs 7 mths ,5,7,Carbuyer
1217,Mazda 3 1.5A Deluxe,51800,856,87656,13819,2015/12/18,3 yrs 3 mths ,3,3,Carbuyer
1218,Mazda 3 1.5A Deluxe,49800,865,99394,13851,2015/10/21,3 yrs 1 mths ,3,1,Carbuyer
1219,Mercedes-Benz C-Class C200K (COE till 10/2029),86800,719,125891,12120,2009/11/30,7 yrs 1 mths ,7,1,Carbuyer
1220,Mercedes-Benz C-Class C200K (COE till 12/2028),79800,730,190000,12719,2008/12/12,6 yrs 3 mths ,6,3,Carbuyer
1221,Mercedes-Benz CLA-Class CLA250 Coupe AMG Line Premium Plus,218800,1813,12854,21790,2021/10/08,8 yrs 11 mths ,8,11,Carbuyer
1222,Mercedes-Benz E-Class E200 AMG Edition E Sunroof,99800,1611,57143,19951,2016/01/15,3 yrs 4 mths ,3,4,Carbuyer
1223,Audi A4 2.0A TFSI S-tronic,151800,1258,29311,17677,2020/02/28,7 yrs 5 mths ,7,5,Carbuyer
1224,Audi A5 Sportback 2.0A TFSI S-tronic Design,150800,1465,34250,21523,2018/01/08,5 yrs 10 mths ,5,10,Carbuyer
1225,BMW 5 Series 520i SE,162800,1506,36548,20917,2018/11/23,6 yrs 2 mths ,6,2,Carbuyer
1226,BMW 5 Series 523i (COE till 06/2030),86800,719,163000,11120,2010/06/24,7 yrs 9 mths ,7,9,Carbuyer
1227,Honda City 1.5A SV,56800,790,96000,12668,2016/01/09,3 yrs 11 mths ,3,11,Carbuyer
1228,Honda Civic 1.5A VTEC Turbo Sunroof,83800,1082,85000,16780,2016/07/12,4 yrs 3 mths ,4,3,Carbuyer
1229,Honda Civic 1.8A VTi-S (COE till 05/2027),49800,591,166278,10507,2007/01/06,4 yrs 8 mths ,4,8,Carbuyer
1230,Honda Fit 1.3A G (COE till 09/2028),56800,545,156000,5680,2008/05/09,5 yrs 11 mths ,5,11,Carbuyer
1231,Honda Fit 1.3A G F-Package,87800,728,17946,10366,2020/11/13,8 yrs 2 mths ,8,2,Carbuyer
1232,Honda Fit 1.3A G F-Package,79800,661,28752,10159,2020/03/30,7 yrs 6 mths ,7,6,Carbuyer
1233,Honda Fit 1.3A G F-Package,86800,719,6000,10268,2020/11/13,8 yrs 2 mths ,8,2,Carbuyer
1234,Honda Fit 1.3A G F-Package,84800,703,8200,9977,2020/11/13,8 yrs 2 mths ,8,2,Carbuyer
1235,Honda Fit 1.3A G F-Package,79800,661,18241,10227,2020/02/27,7 yrs 5 mths ,7,5,Carbuyer
1236,Honda Fit 1.3A GF,76800,650,30000,10749,2019/07/23,6 yrs 10 mths ,6,10,Carbuyer
1237,Honda Fit 1.3A GF,86800,719,7600,10255,2020/11/13,8 yrs 2 mths ,8,2,Carbuyer
1238,Honda Fit 1.3A GF,87800,728,5873,10239,2021/04/01,8 yrs 3 mths ,8,3,Carbuyer
1239,Honda Jazz 1.3A (COE till 05/2026),38800,574,113212,0,2011/09/06,3 yrs 8 mths ,3,8,Carbuyer
1240,Honda Shuttle 1.5A G,51800,837,91281,14429,2016/05/02,3 yrs 4 mths ,3,4,Carbuyer
1241,Honda Shuttle Hybrid 1.5A,95800,802,20500,12782,2019/08/26,6 yrs 11 mths ,6,11,Carbuyer
1242,VOLKSWAGEN GOLF 1.4 TSI AT 5G13HZ HID SR,74800,902,66000,14450,2017/04/28,4 yrs 7 mths ,4,7,Carbuyer
1243,BMW 5 Series 530i SE,154800,1700,87000,23910,2017/10/17,5 yrs 1 mths ,5,1,Carbuyer
1244,Toyota Previa 2.4 Aeras 7-seater Moonroof Luxury (A),170800,1415,20098,18934,2020/08/20,7 yrs 11 mths ,7,11,Carbuyer
1245,BMW M Series M3 Convertible (New 10-yr COE),153800,1274,104000,15380,2011/12/28,9 yrs 3 mths ,9,3,Carbuyer
1249,BMW 5 Series 528i (New 10-yr COE),129800,1076,104800,13095,2012/01/08,9 yrs 10 mths ,9,10,Carbuyer
1250,BMW 3 Series 320i Sport,108800,1311,101000,19076,2017/04/27,4 yrs 7 mths ,4,7,Carbuyer
1251,BMW 2 Series 220i Coupe Sunroof,102800,1586,45000,23421,2016/03/30,3 yrs 6 mths ,3,6,Carbuyer
1253,Honda HR-V 1.5 DX (A),98888,820,37716,12347,2019/10/31,7 yrs 1 mths ,7,1,Carbuyer
1254,Porsche Boxster 2.7A PDK (COE till 03/2032),249800,2070,99000,22421,2013/01/30,9 yrs 6 mths ,9,6,Carbuyer
1257,BMW M Series M135i 5DR,103800,1849,94000,27264,2015/09/17,3 yrs 0 mths ,3,0,Carbuyer
1259,Honda Vezel 1.5A G,128988,1069,10,15589,2020/12/14,8 yrs 3 mths ,8,3,Carbuyer
