model,price,instalment,mileage,num_of_owners,depreciation,reg_date,coe_left,coe_left_yrs,coe_left_mths,coe_months,source
BMW 1 Series 116i Sportline,149888,1212,10350,1,14940,08 Jul 21 ,8yrs 10mths left,8,10,106,Carro
Honda Civic 1.5A VTEC Turbo Sunroof,100888,1181,142112,2,15730,06 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Honda Shuttle 1.5A G Honda Sensing,107888,1018,15590,1,11820,16 Jul 21 ,8yrs 10mths left,8,10,106,Carro
Honda Civic 1.3A (COE till 08/2029),64888,531,268026,4,9280,02 Oct 09 ,6yrs 11mths left,6,11,83,Carro
Honda City 1.5A SV,78888,924,66893,3,12700,16 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Honda Civic 1.6A VTi,105888,1021,36145,1,13990,08 Jul 19 ,6yrs 10mths left,6,10,82,Carro
Honda Civic 1.6A VTi,71888,1106,78810,2,15080,18 Oct 16 ,4yrs 1mths left,4,1,49,Carro
Honda Civic 1.6A VTi,72888,1101,92946,3,14810,30 Nov 16 ,4yrs 2mths left,4,2,50,Carro
Honda Odyssey 2.4A EXV-S Sunroof,102888,1498,99001,1,19050,25 Jan 17 ,4yrs 4mths left,4,4,52,Carro
Honda Civic 1.6A VTi,74888,1091,69020,1,14800,11 Jan 17 ,4yrs 4mths left,4,4,52,Carro
Honda Jazz 1.5A,56888,948,110765,2,13430,21 Jun 16 ,3yrs 9mths left,3,9,45,Carro
Honda Fit 1.3A G (COE till 12/2028),58888,615,209498,5,9390,12 Dec 08 ,6yrs 3mths left,6,3,75,Carro
Honda Civic 1.6A VTi,85888,979,119962,1,13330,18 May 18 ,5yrs 8mths left,5,8,68,Carro
Honda HR-V 1.5A DX,100888,972,52147,1,13190,18 Jul 19 ,6yrs 10mths left,6,10,82,Carro
Honda Civic 1.6A VTi,91888,982,98393,1,13360,08 Oct 18 ,6yrs 1mths left,6,1,73,Carro
Honda Odyssey 2.4A EXV-S Sunroof,127388,1396,87086,1,18450,15 Aug 18 ,5yrs 11mths left,5,11,71,Carro
Honda Jazz 1.3A (COE till 02/2032),88888,839,111305,2,9420,08 Feb 12 ,9yrs 5mths left,9,5,113,Carro
Honda Civic 1.6A VTi,95888,1025,43884,1,14000,10 Oct 18 ,6yrs 1mths left,6,1,73,Carro
Honda Fit 1.3A,92888,876,14812,1,10890,26 Oct 20 ,8yrs 1mths left,8,1,97,Carro
